,,,,,,
Part,Quantity,Weight,Total Weight,Cost,Total cost,Provider
Drive system,2,67,170.6,10$,30$,
Wheel gear w wheel,6,13.6,81.6,3d printed,3d printed,
compound gear,4,4.7,18.8,3d printed,3d printed,
Drive Motor,4,16.1,32.2,5$,$20,[BetaFPV](https://betafpv.com/products/1805-brushless-motors) =HYPERLINK("http://ask.libreoffice.org";"Ask")
Drive pod,2,19,38,3d printed,3d printed,
Axels,6,included,included,4$,24$,[Repeat robotics](https://repeat-robotics.com/buy/axle_ant/)
Weapon Motor,4,30,30,8.25$,33$,[Amazon](https://a.co/d/59BtKMb)
Weapon ESC,2,6.3,6.3,7.90$,15.80$,[Aliexpress](https://www.aliexpress.us/item/3256808227888337.html?spm=a2g0o.productlist.main.3.7d0ec2aeXYVqxC&algo_pvid=0d88b4f9-8e32-437a-8c93-cd09f2f562e2&algo_exp_id=0d88b4f9-8e32-437a-8c93-cd09f2f562e2-2&pdp_ext_f=%7B%22order%22%3A%2265%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.59%212.25%21%21%212.59%212.25%21%40210318e817504367036912152ee331%2112000044950103986%21sea%21US%212956977473%21XZ&curPageLogUid=W6uNzytQSYNw&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification)
Drive ESC,2,3.5,7,5.39$,10.78$,[Aliexpress](https://www.aliexpress.us/item/3256808227888337.html?spm=a2g0o.productlist.main.3.7d0ec2aeXYVqxC&algo_pvid=0d88b4f9-8e32-437a-8c93-cd09f2f562e2&algo_exp_id=0d88b4f9-8e32-437a-8c93-cd09f2f562e2-2&pdp_ext_f=%7B%22order%22%3A%2265%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%212.59%212.25%21%21%212.59%212.25%21%40210318e817504367036912152ee331%2112000044950103986%21sea%21US%212956977473%21XZ&curPageLogUid=W6uNzytQSYNw&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification)
Batteries,4,19,19,already owned,already owned,[Amazon](https://www.amazon.com/dp/B0D2L17M8H?ref=ppx_yo2ov_dt_b_fed_asin_title)
Power switch,1,2.15,2.15,Already owned,Already owned,[Repeat Robotics](https://repeat-robotics.com/buy/fingertech-switch/)
Reciever,1,0.9,0.9,6$,6$,[Aliexpress](https://www.aliexpress.us/item/3256804714662317.html?spm=a2g0o.cart.0.0.6c8138damJGm9i&mp=1&pdp_npi=5%40dis%21USD%21USD%206.16%21USD%206.16%21%21USD%204.16%21%21%21%402101ef7017504365178903148e6532%2112000030953927637%21ct%21US%212956977473%21%211%210&gatewayAdapt=glo2usa)
BetaFPV Shipping,1,,,15$,15$,
,,,,,,
3d Printed Parts,,,,,,
Lid,1,12.53,12.53,3d printed,3d printed,
Body,1,41.77,41.77,3d printed,3d printed,
Uprights,1,21.8,21.8,3d printed,3d printed,
Weapon,1,104.22,104.22,3d printed,3d printed,
Armor,1,24.45,24.45,,,
,,,,,,
,,,,,,
,,,440.72,,$145,
