,,,,,,
Part,Quantity,Weight,Total Weight,Cost,Total cost,Provider
Drive system,2,67,170.6,10$,30$,
Wheel gear w wheel,6,13.6,81.6,3d printed,3d printed,
compound gear,4,4.7,18.8,3d printed,3d printed,
Drive Motor,4,16.1,32.2,5$,$20,BetaFPV
Drive pod,2,19,38,3d printed,3d printed,
Axels,10,included,included,10$,20$,Team Malice
Weapon Motor,4,30,30,8.25$,33$,Amazon
Weapon ESC,2,6.3,6.3,7.90$,15.80$,Aliexpress
Drive ESC,3,3.5,7,5.39$,10.78$,Aliexpress
Batteries,4,19,19,already owned,already owned,Amazon
Power switch,1,2.15,2.15,Already owned,Already owned,Team Malice
Reciever,1,0.9,0.9,Already owned,already owned,Aliexpress
BetaFPV Shipping,1,,,15$,15$,
,,,,,145$,
3d Printed Parts,,,,,,
Lid,1,12.53,12.53,3d printed,3d printed,
Body,1,41.77,41.77,3d printed,3d printed,
Uprights,1,21.8,21.8,3d printed,3d printed,
Weapon,1,104.22,104.22,3d printed,3d printed,
Armor,1,24.45,24.45,,,
,,,,,,
,,,,,,
,,,440.72,,,
